times,prices
2024-08-31 07:00:00,2528.6363593560664
2024-08-31 08:00:00,2525.1798920213023
2024-08-31 09:00:00,2522.803042411454
2024-08-31 10:00:00,2521.654951795241
2024-08-31 11:00:00,2514.4751186780113
2024-08-31 12:00:00,2514.788828704329
2024-08-31 13:00:00,2525.189640637685
2024-08-31 14:00:00,2524.9721421890627
2024-08-31 15:00:00,2524.8692390328824
2024-08-31 16:00:00,2516.957319410228
2024-08-31 17:00:00,2522.1487400907213
2024-08-31 18:00:00,2518.370426327502
2024-08-31 19:00:00,2508.8828547480543
2024-08-31 20:00:00,2502.85412358783
2024-08-31 21:00:00,2497.202409624986
2024-08-31 22:00:00,2499.28878190789
2024-08-31 23:00:00,2506.3630586477166
2024-09-01 00:00:00,2519.165176896587
2024-09-01 01:00:00,2516.377489408623
2024-09-01 02:00:00,2513.4242867900507
2024-09-01 03:00:00,2505.9500618178795
2024-09-01 04:00:00,2494.4515579585595
2024-09-01 05:00:00,2486.845622004804
2024-09-01 06:00:00,2488.5207869747533
2024-09-01 07:00:00,2485.2703614303896
2024-09-01 08:00:00,2464.857144187119
2024-09-01 09:00:00,2476.7091866371657
2024-09-01 10:00:00,2484.5451731492035
2024-09-01 11:00:00,2479.8482613280476
2024-09-01 12:00:00,2484.306415595237
2024-09-01 13:00:00,2464.23055755115
2024-09-01 14:00:00,2477.0737438585343
2024-09-01 15:00:00,2465.91828013253
2024-09-01 16:00:00,2473.034358757159
2024-09-01 17:00:00,2455.3786172616187
2024-09-01 18:00:00,2477.9196263867507
2024-09-01 19:00:00,2474.992568006012
2024-09-01 21:00:00,2494.8704673656152
2024-09-01 22:00:00,2500.444955256141
2024-09-01 23:00:00,2502.9604000527274
2024-09-02 00:00:00,2485.686062093159
2024-09-02 01:00:00,2417.5963433438365
2024-09-02 02:00:00,2427.9733430705
2024-09-02 03:00:00,2439.725501084702
2024-09-02 04:00:00,2438.7944331452177
2024-09-02 05:00:00,2438.282513864102
2024-09-02 06:00:00,2449.433242405873
2024-09-02 07:00:00,2436.3456721583552
2024-09-02 08:00:00,2453.409928010692
2024-09-02 09:00:00,2445.926281577605
2024-09-02 10:00:00,2439.2073084868603
2024-09-02 11:00:00,2470.645780104938
2024-09-02 12:00:00,2515.4471425222364
2024-09-02 13:00:00,2524.3657411851955
2024-09-02 14:00:00,2515.748115594687
2024-09-02 15:00:00,2520.912139882964
2024-09-02 16:00:00,2507.7918142449184
2024-09-02 17:00:00,2518.902223043575
2024-09-02 18:00:00,2514.3377029515714
2024-09-02 19:00:00,2510.34971905678
2024-09-02 20:00:00,2522.2310173705105
2024-09-02 21:00:00,2523.042362253695
2024-09-02 22:00:00,2524.1092605894733
2024-09-02 23:00:00,2550.6279423070478
2024-09-03 00:00:00,2545.4792874084073
2024-09-03 01:00:00,2542.9483754793905
2024-09-03 02:00:00,2538.1605696975166
2024-09-03 03:00:00,2534.1493131855545
2024-09-03 04:00:00,2534.1583050126023
2024-09-03 05:00:00,2528.816542422832
2024-09-03 06:00:00,2515.8209569529326
2024-09-03 07:00:00,2515.577573281136
